,time,precip
318,2011-11-15,5.0182033
319,2011-11-16,4.982187
320,2011-11-17,10.999624
321,2011-11-18,6.5191283
322,2011-11-19,7.262477
323,2011-11-20,5.3841357
324,2011-11-21,3.9940188
325,2011-11-22,2.4725866
326,2011-11-23,5.2196255
327,2011-11-24,2.4430206
328,2011-11-25,1.3578143
329,2011-11-26,2.9913025
330,2011-11-27,3.0763507
331,2011-11-28,3.8023627
332,2011-11-29,7.3175073
333,2011-11-30,8.57339
334,2011-12-01,2.7141263
335,2011-12-02,9.434663
336,2011-12-03,11.599541
337,2011-12-04,10.74292
338,2011-12-05,3.4126928
339,2011-12-06,0.36914593
340,2011-12-07,3.414481
341,2011-12-08,7.0954194
342,2011-12-09,5.028761
343,2011-12-10,2.6724317
344,2011-12-11,5.3404326
345,2011-12-12,3.7070549
346,2011-12-13,1.8152537
347,2011-12-14,3.1850073
348,2011-12-15,4.5992336
349,2011-12-16,6.7339644
350,2011-12-17,9.798235
351,2011-12-18,11.112746
352,2011-12-19,5.10119
353,2011-12-20,4.079749
354,2011-12-21,2.7876098
355,2011-12-22,1.214572
356,2011-12-23,10.62839
357,2011-12-24,10.145642
358,2011-12-25,7.2464643
359,2011-12-26,8.666771
360,2011-12-27,10.0031595
361,2011-12-28,6.7695427
362,2011-12-29,4.2959805
363,2011-12-30,6.42188
364,2011-12-31,3.1684716
365,2013-01-01,6.8798037
366,2013-01-02,12.642617
367,2013-01-03,13.3801365
368,2013-01-04,10.4784155
369,2013-01-05,6.963175
370,2013-01-06,3.8902075
371,2013-01-07,4.543066
372,2013-01-08,3.8160954
373,2013-01-09,3.8317573
374,2013-01-10,3.9747474
375,2013-01-11,8.462013
376,2013-01-12,7.2256093
377,2013-01-13,5.956418
378,2013-01-14,13.565835
379,2013-01-15,8.549549
380,2013-01-16,6.4433503
381,2013-01-17,6.623177
382,2013-01-18,6.3732743
383,2013-01-19,23.44254
384,2013-01-20,3.3257134
385,2013-01-21,1.2882789
386,2013-01-22,1.3674928
387,2013-01-23,2.9823258
388,2013-01-24,12.790891
389,2013-01-25,2.673188
390,2013-01-26,0.94860995
391,2013-01-27,7.2694187
392,2013-01-28,19.406336
393,2013-01-29,30.874302
394,2013-01-30,6.269087
395,2013-01-31,3.1766393
396,2013-02-01,9.99072
397,2013-02-02,10.010469
398,2013-02-03,7.158765
399,2013-02-04,6.121001
400,2013-02-05,11.316584
401,2013-02-06,26.175283
402,2013-02-07,20.239801
403,2013-02-08,10.315107
404,2013-02-09,6.681226
405,2013-02-10,18.074802
406,2013-02-11,29.28419
407,2013-02-12,22.563469
408,2013-02-13,7.569393
409,2013-02-14,12.413504
410,2013-02-15,21.262676
411,2013-02-16,8.967663
412,2013-02-17,11.11107
413,2013-02-18,8.478111
414,2013-02-19,10.033077
415,2013-02-20,10.584804
416,2013-02-21,11.498243
417,2013-02-22,12.374791
418,2013-02-23,20.440247
419,2013-02-24,12.78299
420,2013-02-25,13.157488
421,2013-02-26,3.084245
422,2013-02-27,3.509325
423,2013-02-28,7.034988
424,2013-03-01,8.454493
425,2013-03-02,5.0318637
426,2013-03-03,10.993704
427,2013-03-04,10.688562
428,2013-03-05,11.2986965
429,2013-03-06,15.175128
430,2013-03-07,14.230447
431,2013-03-08,4.056841
432,2013-03-09,2.0575495
433,2013-03-10,4.778557
434,2013-03-11,1.5912122
435,2013-03-12,5.101528
436,2013-03-13,2.5611691
437,2013-03-14,10.51584
438,2013-03-15,12.556526
439,2013-03-16,9.306138
440,2013-03-17,22.265896
441,2013-03-18,19.884405
442,2013-03-19,15.040642
443,2013-03-20,10.519966
444,2013-03-21,9.637538
445,2013-03-22,12.732403
446,2013-03-23,17.595171
447,2013-03-24,23.335835
448,2013-03-25,1.6512616
449,2013-03-26,3.5758703
450,2013-03-27,5.304354
451,2013-03-28,12.763447
452,2013-03-29,19.78272
453,2013-03-30,4.4793224
454,2013-03-31,2.1950812
455,2013-04-01,6.9189415
456,2013-04-02,4.547795
457,2013-04-03,9.448708
458,2013-04-04,7.986459
459,2013-04-05,5.4900336
460,2013-04-06,3.9597301
461,2013-04-07,2.1370878
462,2013-04-08,4.0529013
463,2013-04-09,15.681511
464,2013-04-10,9.095883
465,2013-04-11,3.5884063
466,2013-04-12,3.560986
467,2013-04-13,4.540577
468,2013-04-14,5.2458415
469,2013-04-15,9.746814
470,2013-04-16,20.187496
471,2013-04-17,11.700758
472,2013-04-18,11.203373
473,2013-04-19,8.335153
474,2013-04-20,15.641394
475,2013-04-21,22.021767
476,2013-04-22,23.544819
477,2013-04-23,8.422105
478,2013-04-24,10.73624
479,2013-04-25,25.05317
480,2013-04-26,9.683267
481,2013-04-27,7.6957355
482,2013-04-28,12.880136
483,2013-04-29,9.409207
484,2013-04-30,12.728452
485,2013-05-01,8.689676
486,2013-05-02,12.544307
487,2013-05-03,5.620102
488,2013-05-04,8.96301
489,2013-05-05,4.80834
